"EVENT_TYPE","TIMESTAMP","REQUEST_ID","ORGANIZATION_ID","USER_ID","RUN_TIME","CPU_TIME","URI","SESSION_KEY","LOGIN_KEY","USER_TYPE","REQUEST_STATUS","DB_TOTAL_TIME","ENTITY_NAME","DISPLAY_TYPE","RENDERING_TYPE","REPORT_ID","ROW_COUNT","NUMBER_EXCEPTION_FILTERS","NUMBER_COLUMNS","AVERAGE_ROW_SIZE","SORT","DB_BLOCKS","DB_CPU_TIME","NUMBER_BUCKETS","TIMESTAMP_DERIVED","USER_ID_DERIVED","CLIENT_IP","URI_ID_DERIVED","REPORT_ID_DERIVED","ORIGIN"
"Report","20220620004017.172","4jchHwinZjSG6dG-mNIER-","00D0b000000GaMp","0050b000004K6xT","585","228","N/A","","","Standard","","182940194","","H","","00O0b000004kpcx","0","0","8","0","CASE_NUMBER.up","6274","40","0","2022-06-20T00:40:17.172Z","0050b000004K6xTAAS","","","00O0b000004kpcxEAA","DashboardComponentUpdated"
"Report","20220620004018.356","TID:6009266000007dc92a","00D0b000000GaMp","0056P000000xWWj","529","364","/aura","M5wPCP3Sb5GLfPZK","hVd5wejHOlK3xUk8","Standard","","150940546","","H","","00O0b000004kTaz","2","0","23","541","0720b000006jdBY.up","2838","40","0","2022-06-20T00:40:18.356Z","0056P000000xWWjQAM","110.80.1.252","","00O0b000004kTazEAE","ReportRunFromLightning"
"Report","20220620004020.167","TID:2805859000005d17b7","00D0b000000GaMp","0050b000004K3my","2075","461","/aura","19efIUr2Vbs0JUmf","oljzSw5Jkqg4EElh","Standard","","2924771901","","H","","00O0b000004kTaz","25","0","23","624","0720b000006jdBY.up","10581","600","0","2022-06-20T00:40:20.167Z","0050b000004K3myAAC","163.244.60.30","","00O0b000004kTazEAE","ReportRunFromLightning"
"Report","20220620004020.689","TID:448404059000049715","00D0b000000GaMp","0051P000003jYaI","734","287","/aura","4j1kHYzT69rgMbmF","AnBsPXqhR3QaNIa7","Standard","","452731344","","H","","00O2R0000043lHL","5","0","14","686","CDF1.up","1026","30","0","2022-06-20T00:40:20.689Z","0051P000003jYaIQAU","132.237.180.18","","00O2R0000043lHLUAY","ReportRunFromLightning"
"Report","20220620004026.121","TID:101525900007e9ffbb","00D0b000000GaMp","0056P0000011hQX","2679","344","/aura","eWsJ169Sd2QFUe0k","7RFZVn0XTFy1jG6v","Standard","","2289207378","","H","","00O0b000004kTaz","25","0","23","658","0720b000006jdBY.up","2699","70","0","2022-06-20T00:40:26.121Z","0056P0000011hQXQAY","143.166.255.114","","00O0b000004kTazEAE","ReportRunFromLightning"
"Report","20220620004028.591","TID:807246000006dc79d6","00D0b000000GaMp","0050b000004K3sO","351","225","/aura","qpYElGwK8lsjbIzw","2vzECWYF1KSstd0e","Standard","","132563868","","H","","00O0b000006iNwd","2","0","21","1494","","919","50","0","2022-06-20T00:40:28.591Z","0050b000004K3sOAAS","143.166.183.15","","00O0b000006iNwdEAE","ReportRunFromLightning"
"Report","20220620004029.749","SLB:38167866dc8a7e18e0fea5f6dc55f421","00D0b000000GaMp","0050b000004KNJd","3824","222","/00O2R000003zUb9UAE","cvRk40J50dmkfu+T","S2EIQfwEo5JO0DUJ","Standard","S","3548764156","","H","W","00O2R000003zUb9","9","0","17","886","","6000","30","1","2022-06-20T00:40:29.749Z","0050b000004KNJdAAO","168.159.160.201","00O2R000003zUb9UAE","00O2R000003zUb9UAE","ReportRunFromClassic"
"Report","20220620004029.756","SLB:5d3d52bbfc29ce5fc4e8afcb1a8cc6ae","00D0b000000GaMp","0050b000004KNJd","4152","241","/00O2R000003zUb9UAE","oyAZcNemKkYwuueA","BR665Ll7RU++a728","Standard","S","3910594169","","H","W","00O2R000003zUb9","9","0","17","886","","5984","30","1","2022-06-20T00:40:29.756Z","0050b000004KNJdAAO","168.159.160.201","00O2R000003zUb9UAE","00O2R000003zUb9UAE","ReportRunFromClassic"
"Report","20220620004042.216","SLB:b58090c31c0afa07cb8a6b5826e332f2","00D0b000000GaMp","0050b000004KNJd","5262","260","/00O2R000003zUb9UAE","oyAZcNemKkYwuueA","BR665Ll7RU++a728","Standard","S","4997676249","","H","W","00O2R000003zUb9","9","0","17","886","","5956","40","1","2022-06-20T00:40:42.216Z","0050b000004KNJdAAO","168.159.160.201","00O2R000003zUb9UAE","00O2R000003zUb9UAE","ReportRunFromClassic"
"Report","20220620004046.248","TID:1975469500000511fa","00D0b000000GaMp","0050b000004KCAp","487","357","/aura","AwXupEPM3vSn9Gr4","n5tR4FrlMibSEobp","Standard","","116966725","","H","","00O0b000004kTay","27","0","19","526","0722R000004XnLA.down","7284","60","0","2022-06-20T00:40:46.248Z","0050b000004KCApAAO","123.177.53.1","","00O0b000004kTayEAE","ReportRunFromLightning"
"Report","20220620004050.570","4jchJu1UB54xQOG-mNVlW-","00D0b000000GaMp","0050b000004KS8m","346","240","N/A","","","Standard","","94235211","01I0b000000J48d","S","","00O0b000005yMCt","23","0","8","410","","739","30","0","2022-06-20T00:40:50.570Z","0050b000004KS8mAAG","","","00O0b000005yMCtEAM","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620004050.587","4jchJuDiQ8dxQOG-mNVlW-","00D0b000000GaMp","0050b000004KS8m","314","221","N/A","","","Standard","","86714257","01I0b000000J48d","S","","00O0b000005yMD8","18","0","10","561","","566","40","0","2022-06-20T00:40:50.587Z","0050b000004KS8mAAG","","","00O0b000005yMD8EAM","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620004054.709","TID:7366930900006f1567","00D0b000000GaMp","0050b000004KMGN","8387","494","/aura","wFZgWf430MB+223t","BvvD0xJwiW+tKpje","Standard","","7871545424","","H","","00O2R000004Amwm","4","0","44","1968","0722R000004O8YP.down","1186","30","0","2022-06-20T00:40:54.709Z","0050b000004KMGNAA4","163.244.246.86","","00O2R000004AmwmUAC","ReportRunFromLightning"
